iter	RMSE
0	780802.6536
1	747048.7609
2	716165.7352
3	685445.6795
4	656689.7938
5	629454.8378
6	602222.1058
7	577522.1323
8	553781.2811
9	531868.937
10	510973.3638
11	491829.7533
12	472644.272
13	454195.4374
14	436859.7142
15	421383.6591
16	405857.3536
17	391196.3576
18	377030.9206
19	364521.1729
20	352081.2898
21	340531.457
22	330300.2793
23	320800.0585
24	311428.337
25	302253.2413
26	294264.0896
27	285734.4423
28	278080.1025
29	271247.7264
30	264112.935
31	257925.4054
32	251498.2347
33	245683.3442
34	240155.8534
35	235275.9998
36	230534.0824
37	226189.3274
38	222129.4486
39	217859.6048
40	214179.0232
41	210621.508
42	206759.1399
43	203903.5889
44	200985.332
45	197883.132
46	195136.9381
47	192718.3283
48	189887.5546
49	187494.0657
50	185080.3174
51	182952.4392
52	181173.7863
53	179386.4996
54	177311.4121
55	175463.4821
56	174117.3994
57	172428.782
58	171073.9449
59	169673.8773
60	168159.083
61	166544.1219
62	165037.4922
63	163617.1295
64	162548.8902
65	161354.3797
66	160473.3244
67	159321.1922
68	158255.2605
69	157209.3311
70	156239.2715
71	155325.0737
72	154516.8126
73	153553.7698
74	152884.1137
75	152115.0744
76	151339.1821
77	150676.5276
78	150004.6996
79	149254.1953
80	148535.5648
81	147932.9687
82	147353.6406
83	146887.813
84	146397.4692
85	146013.9462
86	145500.5178
87	145074.6539
88	144593.1278
89	144217.7487
90	143886.4839
91	143368.967
92	143017.4154
93	142364.3937
94	141947.344
95	141558.5805
96	141118.5843
97	140511.4681
98	140105.0868
99	139648.4471
100	138869.3918
101	138511.5258
102	138327.578
103	137869.3445
104	137508.1135
105	137147.3133
106	136774.6652
107	136150.0642
108	135739.1238
109	135387.432
110	134907.8286
111	134519.4409
112	134297.7908
113	134065.8622
114	133602.42
115	133228.2376
116	132943.8252
117	132646.5095
118	132081.618
119	131817.4149
120	131350.706
121	131140.5832
122	130885.9474
123	130548.6366
124	130203.3221
125	130090.6904
126	129884.5604
127	129714.8051
128	129474.7225
129	129277.7131
130	129013.4386
131	128516.2142
132	128244.9947
133	128044.2298
134	127816.0181
135	127613.2983
136	127201.8166
137	127014.3123
138	126724.1122
139	126504.6759
140	126246.765
141	125913.2031
142	125632.9584
143	125472.1565
144	125225.0976
145	124916.2888
146	124596.9938
147	124224.1921
148	124114.13
149	123726.063
150	123575.9566
151	123412.7581
152	123259.5044
153	122903.8927
154	122741.5102
155	122377.7818
156	122116.2338
157	121915.1669
158	121726.9068
159	121460.7598
160	121317.603
161	121112.8185
162	120840.541
163	120609.8638
164	120151.9713
165	120018.2178
166	119872.8657
167	119635.8021
168	119489.5385
169	119103.7913
170	118959.7556
171	118704.8435
172	118550.4306
173	118317.7816
174	118182.9637
175	117916.3781
176	117640.9409
177	117444.3025
178	117269.4945
179	117042.9034
180	116722.9964
181	116582.0151
182	116510.0885
183	116368.1425
184	116090.3096
185	115979.9913
186	115819.9887
187	115751.5446
188	115628.6039
189	115495.717
190	115337.3681
191	115226.7573
192	115027.906
193	114769.455
194	114623.6486
195	114403.0628
196	114201.0525
197	114104.6838
198	113993.3736
199	113814.9799
200	113626.1831
201	113478.6625
202	113316.8021
203	113121.7376
204	112914.9217
205	112694.3872
206	112396.8056
207	112212.2834
208	112128.7437
209	111926.2691
210	111778.6841
211	111586.4471
212	111416.6655
213	111264.2517
214	111160.6521
215	111035.5647
216	110856.119
217	110757.9267
218	110658.6728
219	110586.0091
220	110438.5583
221	110264.8932
222	109992.9063
223	109835.455
224	109698.7755
225	109539.8406
226	109359.4493
227	109112.6473
228	109050.8768
229	108992.7225
230	108861.0171
231	108717.7108
232	108572.3859
233	108464.6466
234	108393.0731
235	108286.1229
236	108145.1315
237	108087.4156
238	107968.1178
239	107855.83
240	107679.9964
241	107622.3247
242	107504.4037
243	107388.4058
244	107302.0435
245	107167.0848
246	107072.7057
247	106936.7583
248	106863.7797
249	106775.749
250	106657.2716
251	106528.9583
252	106439.7359
253	106253.7063
254	106111.9608
255	106052.1234
256	105949.406
257	105810.1776
258	105673.6669
259	105477.4376
260	105343.7893
261	105281.6731
262	105209.7359
263	105152.2398
264	105080.9357
265	104974.2719
266	104877.9945
267	104739.8095
268	104548.4651
269	104460.6134
270	104367.2813
271	104296.997
272	104251.2582
273	104185.1933
274	104032.4454
275	103936.6272
276	103844.7607
277	103732.0874
278	103689.7801
279	103576.6712
280	103517.5338
281	103478.5259
282	103410.324
283	103314.7289
284	103261.8243
285	103225.5112
286	103154.133
287	103039.1406
288	102882.9667
289	102723.7084
290	102590.3662
291	102379.9285
292	102311.238
293	102154.2241
294	102071.071
295	101982.0647
296	101894.9721
297	101804.783
298	101714.2781
299	101653.6938
300	101546.0606
301	101474.2794
302	101386.8579
303	101352.3117
304	101270.7909
305	101181.5792
306	101083.1255
307	100993.2785
308	100891.3423
309	100810.3807
310	100702.6603
311	100564.3422
312	100475.4032
313	100364.4708
314	100282.3011
315	100238.3609
316	100161.61
317	100007.9779
318	99948.34136
319	99814.2793
320	99738.76043
321	99598.10036
322	99499.52162
323	99388.01494
324	99322.40864
325	99201.47307
326	99105.22718
327	99024.533
328	98921.70407
329	98833.36439
330	98724.4074
331	98653.40006
332	98517.89029
333	98459.97531
334	98415.4206
335	98343.5512
336	98268.55473
337	98198.57108
338	98091.77463
339	97992.31516
340	97883.35137
341	97801.83963
342	97609.06439
343	97488.56005
344	97419.70073
345	97352.9944
346	97285.73188
347	97219.94429
348	97127.04889
349	97030.82627
350	96964.16872
351	96859.94726
352	96750.10868
353	96687.25441
354	96626.02704
355	96551.31278
356	96462.48443
357	96371.97959
358	96315.60704
359	96222.09815
360	96158.52856
361	96069.96228
362	96023.09735
363	95955.36754
364	95888.26434
365	95822.72309
366	95703.49778
367	95641.184
368	95522.2499
369	95474.64293
370	95382.12942
371	95349.26022
372	95307.77495
373	95214.22936
374	95134.06524
375	95047.34919
376	95011.4614
377	94954.13398
378	94898.2953
379	94806.91585
380	94745.60929
381	94670.19152
382	94583.64054
383	94535.62581
384	94452.79773
385	94392.59484
386	94349.26088
387	94289.05428
388	94261.94297
389	94204.82309
390	94104.21488
391	94074.56352
392	93956.80118
393	93895.51565
394	93798.92236
395	93701.7015
396	93660.7304
397	93591.45466
398	93560.44007
399	93466.90383
400	93431.80939
401	93360.88077
402	93284.08855
403	93213.19054
404	93182.19669
405	93130.18713
406	93095.82152
407	93036.63442
408	93011.29103
409	92933.77557
410	92873.42906
411	92837.09508
412	92809.45188
413	92712.30041
414	92604.34428
415	92521.10209
416	92485.96113
417	92404.80638
418	92323.35238
419	92237.64012
420	92173.57616
421	92093.21229
422	92051.95536
423	91989.82388
424	91925.48314
425	91820.49062
426	91739.9419
427	91693.18633
428	91633.38815
429	91539.1868
430	91501.12232
431	91423.79124
432	91350.66937
433	91282.57696
434	91231.18209
435	91142.85503
436	91091.35356
437	91037.86292
438	90982.99967
439	90943.14204
440	90887.10645
441	90799.73284
442	90730.32905
443	90678.37261
444	90619.27002
445	90557.81855
446	90505.45318
447	90456.75115
448	90375.52654
449	90346.33271
450	90301.12712
451	90270.6465
452	90215.27535
453	90154.3777
454	90087.18037
455	90036.88224
456	89996.01746
457	89930.38465
458	89868.51086
459	89829.14604
460	89780.70855
461	89706.91323
462	89642.05249
463	89614.69514
464	89567.84547
465	89519.5323
466	89481.74312
467	89397.4598
468	89354.96533
469	89341.19699
470	89290.33233
471	89240.6964
472	89199.00276
473	89097.54334
474	89038.67059
475	88954.14091
476	88910.50688
477	88883.66102
478	88835.63959
479	88792.72298
480	88754.66642
481	88708.89421
482	88634.98489
483	88595.05576
484	88558.84043
485	88488.17029
486	88437.2136
487	88367.66889
488	88336.27856
489	88303.37086
490	88227.06104
491	88158.59728
492	88134.64777
493	88072.35919
494	88022.5634
495	88006.63921
496	87976.04936
497	87954.16116
498	87907.0748
499	87856.91566
500	87819.91829
501	87770.07416
502	87704.07884
503	87650.08017
504	87600.75843
505	87536.4981
506	87471.94782
507	87435.72247
508	87374.90738
509	87327.0918
510	87289.88177
511	87224.83794
512	87161.53929
513	87120.52607
514	87067.74433
515	86986.92515
