iter	Passed	Remaining
0	115	114959
1	118	59001
2	120	40140
3	122	30596
4	124	24865
5	126	21010
6	129	18344
7	132	16387
8	134	14834
9	136	13552
10	140	12621
11	143	11792
12	145	11032
13	148	10481
14	151	9932
15	153	9441
16	156	9025
17	158	8632
18	160	8297
19	163	8018
20	165	7723
21	167	7455
22	171	7270
23	173	7039
24	174	6822
25	177	6646
26	179	6460
27	181	6290
28	183	6133
29	185	5999
30	187	5859
31	189	5741
32	192	5630
33	194	5524
34	196	5412
35	198	5306
36	200	5212
37	202	5122
38	204	5031
39	206	4948
40	208	4874
41	210	4808
42	212	4735
43	214	4663
44	217	4609
45	219	4544
46	220	4481
47	222	4422
48	225	4369
49	227	4316
50	229	4263
51	231	4228
52	233	4179
53	235	4130
54	237	4083
55	239	4041
56	241	4000
57	243	3959
58	245	3918
59	247	3884
60	249	3845
61	251	3807
62	254	3779
63	256	3751
64	258	3717
65	261	3693
66	263	3669
67	265	3645
68	268	3626
69	272	3621
70	274	3592
71	277	3576
72	280	3557
73	282	3530
74	284	3510
75	288	3508
76	290	3487
77	294	3475
78	296	3453
79	298	3432
80	301	3415
81	303	3397
82	305	3378
83	307	3357
84	310	3341
85	312	3322
86	314	3301
87	317	3291
88	319	3273
89	321	3253
90	323	3234
91	326	3218
92	328	3199
93	330	3184
94	333	3172
95	335	3158
96	337	3141
97	340	3134
98	343	3122
99	345	3106
100	347	3092
101	350	3086
102	352	3071
103	354	3057
104	357	3050
105	359	3035
106	361	3020
107	364	3010
108	366	2997
109	368	2984
110	372	2979
111	374	2970
112	376	2959
113	380	2954
114	382	2945
115	385	2934
116	388	2929
117	390	2916
118	392	2904
119	394	2892
120	396	2881
121	398	2869
122	400	2856
123	402	2846
124	405	2836
125	407	2825
126	410	2820
127	412	2810
128	414	2797
129	416	2785
130	418	2775
131	420	2764
132	422	2753
133	424	2742
134	426	2733
135	428	2722
136	430	2712
137	432	2703
138	435	2694
139	436	2684
140	438	2672
141	440	2663
142	443	2655
143	444	2644
144	446	2634
145	449	2627
146	451	2618
147	453	2608
148	455	2598
149	457	2590
150	459	2582
151	461	2572
152	462	2563
153	465	2554
154	467	2546
155	468	2537
156	470	2527
157	472	2519
158	474	2510
159	476	2501
160	478	2491
161	480	2483
162	482	2475
163	483	2466
164	485	2457
165	487	2449
166	489	2442
167	491	2433
168	493	2425
169	495	2416
170	496	2409
171	498	2401
172	500	2393
173	502	2384
174	504	2377
175	506	2369
176	507	2361
177	509	2354
178	511	2347
179	513	2340
180	515	2333
181	517	2325
182	519	2318
183	521	2312
184	523	2306
185	525	2299
186	527	2295
187	529	2288
188	531	2280
189	533	2274
190	535	2269
191	537	2263
192	539	2257
193	541	2251
194	544	2247
195	546	2241
196	548	2234
197	550	2228
198	552	2223
199	554	2217
200	556	2210
201	557	2203
202	559	2197
203	561	2191
204	563	2185
205	565	2178
206	567	2172
207	569	2166
208	570	2160
209	572	2154
210	574	2149
211	576	2143
212	578	2137
213	580	2131
214	582	2125
215	584	2120
216	586	2114
217	588	2109
218	589	2103
219	591	2098
220	593	2093
221	595	2087
222	597	2081
223	599	2076
224	601	2071
225	603	2065
226	605	2060
227	607	2055
228	608	2050
229	610	2044
230	612	2039
231	614	2034
232	616	2028
233	618	2023
234	619	2017
